track_name,artists,track_id
Ordinary World,['Duran Duran'],0wokCRaKD0zPNhMRXAgVsr
Try,['P!nk'],1jF7IL57ayN4Ity3jQqGu0
Dark Horse,['Amanda Marshall'],4cg24ri2Qov4CiPccp7Szn
God is a woman,['Ariana Grande'],5OCJzvD7sykQEKHH7qAC3C
Through The Looking Glass,['DI-RECT'],7j2TJXhcE1aAzB6Evmgvm0
New Gold Dream (81/82/83/84) - Remastered 2002,['Simple Minds'],4hvrLEqMHWR4troGbku7ZV
China Girl - 2002 Remaster,['David Bowie'],7Dy1LOaEeuYOEe5k17T3Rh
Star People,['George Michael'],2x8rw8kMwjbxdThFw1NCIX
Jesus He Knows Me,['Genesis'],5WjHfw8Y5D947Qk5qw71YY
Mornin',['Al Jarreau'],4TxBGpTxrNvRNhF39Dl3NQ
State of Independence,['Donna Summer'],3mZ6PVxWBhCycZxeEJQDNs
You're the Voice,['John Farnham'],5NwkWwfRJaT55hEPtCmJHx
Drops of Jupiter (Tell Me),['Train'],2hKdd3qO7cWr2Jo0Bcs0MA
Listen To Your Heart,['Roxette'],5JvsxPAHsGxwNq4xto2HtM
Boogie Wonderland,"['Earth, Wind & Fire', 'The Emotions']",6ztstiyZL6FXzh4aG46ZPD
Roof Garden,['Al Jarreau'],1CpDrx0Q7f2Wv3tBXDMt6z
Could You Be Loved,['Bob Marley & The Wailers'],5O4erNlJ74PIF6kGol1ZrC
Black or White - Single Version,['Michael Jackson'],2Cy7QY8HPLk925AyNAt6OG
Gimme All Your Lovin',['ZZ Top'],4ZyIXabL4Sp97BZfQgqwFB
Killer / Papa Was a Rollin' Stone,['George Michael'],3EMwCbvaeyWVZb3ae0roHt
Mushanga,['TOTO'],2ixCoRL71z0cmHKwZGEhYE
More Than A Woman,['Bee Gees'],49OMJ1prsRA7ZYgrAjz70c
Higher Power,['Coldplay'],65OR4ywy8Cgs3FDHK82Idl
"You're The First, The Last, My Everything",['Barry White'],6kOjNVGh1Gapc7224d20Ym
Can't Stop Loving You - 2016 Remaster,['Phil Collins'],2W6PNGCN4PGwPMf1jYazL4
Life's What You Make It - 1997 Remaster,['Talk Talk'],2iWTHXaFtRSMhd5OLpYD7f
Use Somebody,['Kings of Leon'],5VGlqQANWDKJFl0MBG3sg2
The Eve of the War,['Jeff Wayne'],7kLA5z1JUqpb46M7AF2YiO
"Night Fever - From ""Saturday Night Fever"" Soundtrack",['Bee Gees'],43TDFuJclqZSQrHZvOpMSv
Weather With You,['Crowded House'],6tXnRSvuNgOq4QcxpIN54r
Bad Liar,['Imagine Dragons'],2RSHsoi04658QL5xgQVov3
Hall of Fame (feat. will.i.am),"['The Script', 'will.i.am']",7wMq5n8mYSKlQIGECKUgTX
